raw_id,raw_text
up-mix-0001,上海市徐汇区肇嘉浜路111号A栋
up-mix-0002,上海徐汇肇嘉浜111
up-mix-0003,北京市朝阳区建国路88号SOHO现代城
up-mix-0004,北京市建国路88
up-mix-0005,广州市天河区体育西路100号
up-mix-0006,广州天河体西100
up-mix-0007,深圳市南山区科技园南区8栋
up-mix-0008,深圳南山科技园8栋
up-mix-0009,成都市高新区天府大道北段1700号
up-mix-0010,成都高新天府大道1700
up-mix-0011,杭州市西湖区文三路478号
up-mix-0012,杭州文三路478
up-mix-0013,武汉市洪山区珞喻路1037号
up-mix-0014,武汉珞喻路1037
up-mix-0015,西安市雁塔区高新路52号
up-mix-0016,西安高新路52
up-mix-0017,南京市鼓楼区中山北路1号
up-mix-0018,南京中山北路1
up-mix-0019,苏州市工业园区星湖街328号
up-mix-0020,苏州园区星湖街328
