raw_id,raw_text
manual-mixed-0001,上海市浦东新区张江高科博云路2号
manual-mixed-0002,上海浦东张江博云路2号
manual-mixed-0003,北京市朝阳区望京SOHO T1
manual-mixed-0004,北京朝阳望京soho t1
manual-mixed-0005,广东省深圳市南山区高新南一道009号
manual-mixed-0006,深圳南山高新南一道9号
manual-mixed-0007,杭州市西湖区古墩路701号紫金广场
manual-mixed-0008,杭州西湖古墩路701
manual-mixed-0009,江苏省苏州市工业园区金鸡湖大道88号
manual-mixed-0010,苏州园区金鸡湖大道88
manual-mixed-0011,湖北省武汉市洪山区光谷大道77号
manual-mixed-0012,武汉洪山光谷大道77
manual-mixed-0013,四川省成都市高新区天府五街200号
manual-mixed-0014,成都高新天府五街200
manual-mixed-0015,陕西省西安市雁塔区科技路33号
manual-mixed-0016,西安雁塔科技路33
manual-mixed-0017,重庆市渝北区金开大道56号
manual-mixed-0018,重庆渝北金开大道56
manual-mixed-0019,天津市河西区友谊路35号
manual-mixed-0020,天津河西友谊路35
manual-mixed-0021,郑州市金水区花园路122号
manual-mixed-0022,郑州金水花园路122
manual-mixed-0023,青岛市市南区香港中路12号
manual-mixed-0024,青岛市南香港中路12
manual-mixed-0025,长沙市岳麓区麓谷大道666号
manual-mixed-0026,长沙岳麓麓谷大道666
manual-mixed-0027,合肥市蜀山区长江西路499号
manual-mixed-0028,合肥蜀山长江西路499
manual-mixed-0029,福州市鼓楼区五四路158号
manual-mixed-0030,福州鼓楼五四路158
