case_id,用例类型,场景标签,原始地址,省,市,区县,街道,门牌号,小区,楼栋,单元,室号,邮编,经纬度,预期标准化地址,预期判定,是否需人工复核,备注
CNADDR-0001,integration,标准地址,上海市上海市浦东新区世纪大道8号东方明珠花园4栋6单元111室,上海市,上海市,浦东新区,世纪大道,8号,东方明珠花园,4栋,6单元,111室,200001,121.472000|31.232000,上海市上海市浦东新区世纪大道8号 东方明珠花园4栋6单元111室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0002,integration,标准地址,北京市北京市朝阳区中山东一路15号海纳公馆7栋3单元122室,北京市,北京市,朝阳区,中山东一路,15号,海纳公馆,7栋,3单元,122室,100002,116.404000|39.904000,北京市北京市朝阳区中山东一路15号 海纳公馆7栋3单元122室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0003,integration,标准地址,广东省深圳市罗湖区南京西路22号锦绣家园10栋8单元133室,广东省,深圳市,罗湖区,南京西路,22号,锦绣家园,10栋,8单元,133室,518003,114.066000|22.556000,广东省深圳市罗湖区南京西路22号 锦绣家园10栋8单元133室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0004,integration,标准地址,江苏省苏州市虎丘区人民路29号金色华庭13栋5单元144室,江苏省,苏州市,虎丘区,人民路,29号,金色华庭,13栋,5单元,144室,215004,120.628000|31.308000,江苏省苏州市虎丘区人民路29号 金色华庭13栋5单元144室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0005,integration,标准地址,湖北省武汉市武昌区建设路36号书香门第16栋2单元155室,湖北省,武汉市,武昌区,建设路,36号,书香门第,16栋,2单元,155室,430005,114.310000|30.600000,湖北省武汉市武昌区建设路36号 书香门第16栋2单元155室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0006,integration,简称/别名,随州市广水市解放大道43号未来城19幢166室,湖北省,随州市,广水市,解放大道,43号,未来城,19栋,7单元,166室,441306,113.392000|31.702000,湖北省随州市广水市解放大道43号 未来城19栋7单元166室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0007,integration,简称/别名,上海市浦东新区创新大道50号星河湾2幢177室,上海市,上海市,浦东新区,创新大道,50号,星河湾,2栋,4单元,177室,200007,121.484000|31.244000,上海市上海市浦东新区创新大道50号 星河湾2栋4单元177室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0008,integration,缺失门牌,北京市北京市朝阳区科创路万和府5栋1单元188室,北京市,北京市,朝阳区,科创路,57号,万和府,5栋,1单元,188室,100008,116.416000|39.916000,北京市北京市朝阳区科创路57号 万和府5栋1单元188室,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0009,integration,疑似不存在,广东省深圳市罗湖区不存在路64号龙湖天街,广东省,深圳市,罗湖区,友谊路,64号,龙湖天街,8栋,6单元,199室,518009,114.078000|22.568000,广东省深圳市罗湖区不存在路64号,reject,是,Phase1.5-Lab-中文地址样本-六城
CNADDR-0010,integration,标准地址,江苏省苏州市虎丘区沿江大道71号翡翠城11栋3单元210室,江苏省,苏州市,虎丘区,沿江大道,71号,翡翠城,11栋,3单元,210室,215010,120.640000|31.320000,江苏省苏州市虎丘区沿江大道71号 翡翠城11栋3单元210室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0011,integration,标准地址,湖北省武汉市武昌区文化路78号东方明珠花园14栋8单元221室,湖北省,武汉市,武昌区,文化路,78号,东方明珠花园,14栋,8单元,221室,430011,114.322000|30.612000,湖北省武汉市武昌区文化路78号 东方明珠花园14栋8单元221室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0012,integration,标准地址,湖北省随州市广水市幸福路85号海纳公馆17栋5单元232室,湖北省,随州市,广水市,幸福路,85号,海纳公馆,17栋,5单元,232室,441312,113.404000|31.714000,湖北省随州市广水市幸福路85号 海纳公馆17栋5单元232室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0013,integration,标准地址,上海市上海市浦东新区世纪大道92号锦绣家园20栋2单元243室,上海市,上海市,浦东新区,世纪大道,92号,锦绣家园,20栋,2单元,243室,200013,121.496000|31.256000,上海市上海市浦东新区世纪大道92号 锦绣家园20栋2单元243室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0014,integration,标准地址,北京市北京市朝阳区中山东一路99号金色华庭3栋7单元254室,北京市,北京市,朝阳区,中山东一路,99号,金色华庭,3栋,7单元,254室,100014,116.428000|39.928000,北京市北京市朝阳区中山东一路99号 金色华庭3栋7单元254室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0015,integration,标准地址,广东省深圳市罗湖区南京西路106号书香门第6栋4单元265室,广东省,深圳市,罗湖区,南京西路,106号,书香门第,6栋,4单元,265室,518015,114.090000|22.580000,广东省深圳市罗湖区南京西路106号 书香门第6栋4单元265室,accept,否,Phase1.5-Lab-中文地址样本-六城
CNADDR-0016,integration,简称/别名,苏州市虎丘区人民路113号未来城9幢276室,江苏省,苏州市,虎丘区,人民路,113号,未来城,9栋,1单元,276室,215016,120.652000|31.332000,江苏省苏州市虎丘区人民路113号 未来城9栋1单元276室,needs-human,是,Phase1.5-Lab-中文地址样本-六城
