case_id,type,shard,phase_focus,batch_id,sample_spec_id,sample_mode,candidate_count,approval_status,caller_role,fault_mode,baseline_auto_pass_rate,baseline_review_rate,baseline_human_required_rate,baseline_consistency_score,baseline_quality_gate_pass_rate,baseline_review_accept_rate,candidate_auto_pass_rate,candidate_review_rate,candidate_human_required_rate,candidate_consistency_score,candidate_quality_gate_pass_rate,candidate_review_accept_rate,expected_recommendation,expected_http,expected_activation_allowed,expected_replay_available,expected_audit_events,time_budget_seconds
INT-0001,integration,01,A1_baseline,batch-0001,ss-02,sample_spec,3,pending,operator,none,0.580,0.420,0.164,0.845,0.888,0.789,0.570,0.430,0.194,0.805,0.858,0.769,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0002,integration,01,A1_baseline,batch-0002,ss-03,sample_spec,3,pending,operator,none,0.590,0.410,0.172,0.850,0.894,0.796,0.610,0.390,0.182,0.855,0.894,0.806,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0003,integration,01,A1_baseline,batch-0003,ss-04,sample_spec,3,pending,operator,none,0.600,0.400,0.180,0.855,0.900,0.803,0.630,0.370,0.160,0.865,0.910,0.823,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0004,integration,01,A1_baseline,batch-0004,ss-05,sample_spec,3,approved,operator,none,0.610,0.390,0.188,0.860,0.906,0.810,0.600,0.400,0.218,0.820,0.876,0.790,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0005,integration,01,A1_baseline,batch-0005,ss-06,sample_spec,3,pending,admin,none,0.620,0.380,0.196,0.865,0.912,0.817,0.640,0.360,0.206,0.870,0.912,0.827,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0006,integration,01,A1_baseline,batch-0006,ss-07,sample_spec,3,pending,operator,none,0.630,0.370,0.204,0.870,0.882,0.824,0.660,0.340,0.184,0.880,0.892,0.844,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0007,integration,01,A1_baseline,batch-0007,ss-08,sample_spec,3,pending,reviewer,none,0.640,0.360,0.156,0.875,0.888,0.831,0.630,0.370,0.186,0.835,0.858,0.811,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0008,integration,01,A1_baseline,batch-0008,ss-09,sample_spec,3,approved,operator,timeout,0.650,0.350,0.164,0.880,0.894,0.782,0.670,0.330,0.174,0.885,0.894,0.792,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0009,integration,01,A1_baseline,batch-0009,ss-10,sample_spec,3,pending,operator,tool_5xx,0.660,0.340,0.172,0.840,0.900,0.789,0.690,0.310,0.152,0.850,0.910,0.809,accept,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
INT-0010,integration,01,A1_baseline,batch-0010,ss-11,sample_spec,3,pending,admin,none,0.570,0.430,0.180,0.845,0.906,0.796,0.560,0.440,0.210,0.805,0.876,0.776,reject,200,false,true,agent_run_start|tool_call|baseline_completed|candidate_completed_x3|scorecard_computed|change_request_created|approval_changed,180
