raw_id,raw_text
manual-noisy-0001,上海市浦东新区世纪大道100号A座(近2号线)
manual-noisy-0002,浦东世纪大道100号A座
manual-noisy-0003,北京市朝阳区建国门外大街甲6号SKP
manual-noisy-0004,朝阳建外大街甲6号 skp
manual-noisy-0005,广州市天河区珠江新城华夏路10号#12F
manual-noisy-0006,广州天河华夏路10号12楼
manual-noisy-0007,深圳市南山区科技南十二路2号(金蝶软件园)
manual-noisy-0008,南山科技南十二路2号 金蝶软件园
manual-noisy-0009,杭州市余杭区仓前街道文一西路969号(阿里西溪园区)
manual-noisy-0010,余杭仓前 文一西路969 阿里西溪
manual-noisy-0011,南京市鼓楼区中山北路45号-1
manual-noisy-0012,南京鼓楼中山北路45-1
manual-noisy-0013,苏州市工业园区星湖街328号B1层
manual-noisy-0014,苏州园区星湖街328 B1
manual-noisy-0015,武汉市洪山区珞喻路889号（光谷国际）
manual-noisy-0016,武汉洪山 珞喻路889 光谷国际
manual-noisy-0017,西安市雁塔区长安中路38号(小寨)
manual-noisy-0018,西安雁塔长安中路38 小寨
manual-noisy-0019,成都市武侯区人民南路四段3号@地铁口
manual-noisy-0020,成都武侯人民南路4段3号 地铁口
